activity|metric_name|metric_value
vehicle_turning_left|n-mide|0.244541295404
vehicle_turning_left|n-mide_num_rejected|0
vehicle_turning_left|p_miss@0.01rfa|0.992481203008
vehicle_turning_left|p_miss@0.03rfa|0.932330827068
vehicle_turning_left|p_miss@0.15rfa|0.796992481203
vehicle_turning_left|p_miss@0.1rfa|0.827067669173
vehicle_turning_left|p_miss@0.2rfa|0.751879699248
vehicle_turning_left|p_miss@1rfa|0.556390977444
vehicle_turning_right|n-mide|0.185353892652
vehicle_turning_right|n-mide_num_rejected|0
vehicle_turning_right|p_miss@0.01rfa|0.978102189781
vehicle_turning_right|p_miss@0.03rfa|0.970802919708
vehicle_turning_right|p_miss@0.15rfa|0.92700729927
vehicle_turning_right|p_miss@0.1rfa|0.934306569343
vehicle_turning_right|p_miss@0.2rfa|0.92700729927
vehicle_turning_right|p_miss@1rfa|0.686131386861
vehicle_u_turn|n-mide|None
vehicle_u_turn|n-mide_num_rejected|0
vehicle_u_turn|p_miss@0.01rfa|1.0
vehicle_u_turn|p_miss@0.03rfa|1.0
vehicle_u_turn|p_miss@0.15rfa|1.0
vehicle_u_turn|p_miss@0.1rfa|1.0
vehicle_u_turn|p_miss@0.2rfa|1.0
vehicle_u_turn|p_miss@1rfa|1.0
